date,cust_email,cust_location,product_id,product_quantity
1/1/2020,chesk@msn.com,14523,15585,1
1/1/2020,chesk@msn.com,14523,20179,1
1/1/2020,je@msn.com,85822,12668,2
1/1/2020,stoe@gmail.com,58252,17593,2
1/1/2020,clia@live.com,42190,23327,3
1/2/2020,niy@live.com,82065,6607,1
1/2/2020,vaay@yahoo.com,85925,4903,2
1/2/2020,vaay@yahoo.com,85925,20764,1
1/2/2020,goak@hotmail.com,36941,23316,4
1/3/2020,spi@yahoo.com,78493,17581,1
1/3/2020,strui@hotmail.com,17254,3642,2
1/3/2020,sou@live.com,95467,2234,5
1/3/2020,sou@live.com,95467,11591,1
1/3/2020,sou@live.com,95467,10481,1
1/3/2020,doe@outlook.com,82429,22320,1
1/3/2020,doe@outlook.com,82429,20124,1
1/3/2020,yob@yahoo.com,78500,5028,1
1/3/2020,snep@aol.com,85519,18306,1
1/3/2020,priuh@hotmail.com,92259,14252,2
1/3/2020,priuh@hotmail.com,92259,2191,1
1/3/2020,brum@gmail.com,87354,7583,1
1/4/2020,plasp@yahoo.com,9452,2092,3
1/4/2020,struint@yahoo.com,39731,21092,1
1/4/2020,stry@gmail.com,5010,16198,2
1/4/2020,clia@aol.com,26606,13548,2
1/5/2020,weo@live.com,88972,5247,1
1/5/2020,weo@live.com,88972,10828,1
1/5/2020,we@icloud.com,33340,3472,5
1/5/2020,we@icloud.com,33340,23012,1
1/5/2020,kiez@icloud.com,84562,9448,1
1/6/2020,priosk@msn.com,17467,8850,2
1/6/2020,zaa@gmail.com,43288,19386,1
1/6/2020,zaa@gmail.com,43288,10701,2
1/6/2020,zaa@gmail.com,43288,11648,2
1/7/2020,jaump@yahoo.com,67700,700,1
1/7/2020,zai@hotmail.com,33340,19833,1
1/7/2020,crue@icloud.com,68813,20696,2
1/7/2020,toa@aol.com,61789,20139,2
1/7/2020,slea@hotmail.com,9784,2812,1
1/7/2020,bu@aol.com,30347,18402,1
1/8/2020,dee@hotmail.com,24016,7980,1
1/8/2020,dee@hotmail.com,24016,5484,3
1/8/2020,dee@hotmail.com,24016,12546,1
1/8/2020,dee@hotmail.com,24016,760,2
1/8/2020,fruect@hotmail.com,12220,15958,1
1/8/2020,moach@aol.com,26456,3889,1
1/8/2020,penk@outlook.com,23657,19488,1
1/8/2020,penk@outlook.com,23657,15191,1
1/8/2020,penk@outlook.com,23657,6384,1
1/8/2020,sner@yahoo.com,85311,11612,1
1/8/2020,sner@yahoo.com,85311,15278,1
1/8/2020,za@hotmail.com,48255,17636,1
1/8/2020,za@hotmail.com,48255,13143,1
1/8/2020,za@hotmail.com,48255,7978,3
1/8/2020,shua@hotmail.com,75427,2302,1
1/9/2020,dross@yahoo.com,54966,18259,1
1/9/2020,ko@gmail.com,24961,12531,1
1/9/2020,slo@gmail.com,22519,15306,2
1/9/2020,slo@gmail.com,22519,16507,2
1/9/2020,gluy@hotmail.com,55410,5729,3
1/9/2020,gluy@hotmail.com,55410,6894,1
1/10/2020,ky@gmail.com,49137,15259,1
1/10/2020,ky@gmail.com,49137,8678,1
1/10/2020,floib@hotmail.com,73303,19022,3
1/10/2020,wyd@hotmail.com,59059,2491,4
1/10/2020,wyd@hotmail.com,59059,16660,1
1/10/2020,wyd@hotmail.com,59059,7968,1
1/10/2020,wyd@hotmail.com,59059,13950,2
1/11/2020,cheu@gmail.com,29477,2173,3
1/11/2020,cheu@gmail.com,29477,19700,4
1/11/2020,laod@hotmail.com,64750,18475,4
1/11/2020,freaft@msn.com,45641,4548,2
1/11/2020,fress@gmail.com,69036,6876,1
1/11/2020,jiol@hotmail.com,87291,3377,5
